vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	44	38	0	3	1	38	2
2	B	44	44	0	0	44	0	0
3	A	44	42	0	42	1	0	1
4	B	44	37	0	3	37	1	3
5	D	44	39	1	0	4	0	39
6	B	44	33	3	0	33	4	4
7	D	44	36	2	3	1	2	36
8	B	44	39	1	2	39	2	0
9	D	44	39	0	0	4	1	39
10	C	44	40	1	0	1	40	2
11	A	44	36	2	36	3	0	3
12	B	44	26	4	7	26	3	4
13	A	44	21	6	21	4	10	3
14	B	44	33	1	2	33	0	8
15	A	44	27	6	27	4	4	3
16	C	44	34	3	0	2	34	5
17	D	44	26	2	6	2	8	26
18	C	44	35	1	2	4	35	2
19	A	44	36	1	36	2	2	3
20	D	44	25	5	6	5	3	25
21	D	44	22	1	1	17	3	22
22	C	44	22	6	5	1	22	10
23	C	44	24	6	6	6	24	2
24	B	44	29	3	2	29	7	3
25	B	44	29	3	9	29	1	2
