scoreNaam	groepLabel	kleur	aantal
totaal	<5	rgb(255,140,0)	132
totaal	5-9	rgb(255,215,0)	167
totaal	>=10	rgb(144,238,144)	100
totaal_geen_correctie	<5	rgb(255,140,0)	142
totaal_geen_correctie	5-9	rgb(255,215,0)	177
totaal_geen_correctie	>=10	rgb(144,238,144)	80
wiskunde	<3	rgb(255,140,0)	198
wiskunde	3-4	rgb(255,215,0)	99
wiskunde	>=5	rgb(144,238,144)	102
wiskunde_geen_correctie	<3	rgb(255,140,0)	220
wiskunde_geen_correctie	3-4	rgb(255,215,0)	76
wiskunde_geen_correctie	>=5	rgb(144,238,144)	103
fysica	<3	rgb(255,140,0)	131
fysica	3-4	rgb(255,215,0)	157
fysica	>=5	rgb(144,238,144)	111
fysica_geen_correctie	<3	rgb(255,140,0)	190
fysica_geen_correctie	3-4	rgb(255,215,0)	114
fysica_geen_correctie	>=5	rgb(144,238,144)	95
chemie	<3	rgb(255,140,0)	90
chemie	3-4	rgb(255,215,0)	138
chemie	>=5	rgb(144,238,144)	171
chemie_geen_correctie	<3	rgb(255,140,0)	118
chemie_geen_correctie	3-4	rgb(255,215,0)	101
chemie_geen_correctie	>=5	rgb(144,238,144)	180
