ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	taalvaardigheidJuist	taalvaardigheidFout	taalvaardigheidBlanco	taalvaardigheidScore
33804	1	0	21	7	7	11	13	7	5	9	8	0	2	8	6	4	5	5	7	3	0	6
33612	1	1	33	2	0	18	23	2	0	18	10	0	0	10	15	0	0	15	8	2	0	7
32498	1	1	23	6	6	12	14	6	5	10	9	0	1	9	10	4	1	9	4	2	4	3
33598	1	1	27	8	0	14	18	7	0	13	9	1	0	9	10	5	0	8	8	2	0	7
33408	1	1	25	3	7	14	16	3	6	12	9	0	1	9	9	1	5	9	7	2	1	6
32331	1	1	28	5	2	15	19	5	1	14	9	0	1	9	10	4	1	9	9	1	0	9
33480	1	1	27	5	3	14	18	4	3	13	9	1	0	9	10	2	3	9	8	2	0	7
32494	1	0	23	8	4	12	14	8	3	9	9	0	1	9	8	4	3	7	6	4	0	5
32887	1	0	21	14	0	9	15	10	0	9	6	4	0	5	10	5	0	8	5	5	0	3
33210	1	0	12	17	6	4	10	10	5	5	2	7	1	0	3	7	5	1	7	3	0	6
33234	1	1	27	6	2	14	17	6	2	12	10	0	0	10	13	1	1	13	4	5	1	2
32506	1	0	20	12	3	9	11	11	3	6	9	1	0	9	8	4	3	7	3	7	0	1
32507	1	1	25	10	0	12	18	7	0	13	7	3	0	6	9	6	0	7	9	1	0	9
33338	1	0	18	8	9	9	8	8	9	4	10	0	0	10	5	3	7	4	3	5	2	1
32520	1	0	14	21	0	4	6	19	0	0	8	2	0	7	3	12	0	0	3	7	0	1
