key	value
toetsCode	dw
toetsSessie	17
aantalVragen	30
aantalAlternatieven	4
totaal-maxScore	20
totaal_geen_correctie-maxScore	20
wiskunde-maxScore	10
wiskunde_geen_correctie-maxScore	10
fysica-maxScore	10
fysica_geen_correctie-maxScore	10
chemie-maxScore	10
chemie_geen_correctie-maxScore	10
verwerkingsstrategieen-maxScore	20
stuurloosleergedrag-maxScore	20
zelfcontrole-maxScore	20
uitstel-maxScore	20
nieuwsgierigheid-maxScore	20
testangst-maxScore	20
emotionelecontrole-maxScore	20
samenwerking-maxScore	20
extraversie-maxScore	20
subScores	totaal|totaal_geen_correctie|wiskunde|wiskunde_geen_correctie|fysica|fysica_geen_correctie|chemie|chemie_geen_correctie|verwerkingsstrategieen|stuurloosleergedrag|zelfcontrole|uitstel|nieuwsgierigheid|testangst|emotionelecontrole|samenwerking|extraversie
totaal-vragen	1|2|3|4|5|6|7|8|9|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|29|30
totaal_geen_correctie-vragen	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
wiskunde-vragen	1|2|3|4|5|6|7|8|9
wiskunde_geen_correctie-vragen	1|2|3|4|5|6|7|8|9|10
fysica-vragen	11|12|13|14|16|17|18|19|20
fysica_geen_correctie-vragen	11|12|13|14|15|16|17|18|19|20
chemie-vragen	22|23|24|25|26|27|28|29|30
chemie_geen_correctie-vragen	21|22|23|24|25|26|27|28|29|30
